,country,year,population,gdp,co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,continent,latitude,longitude,co2_cum,co2_cum_total
15078,131.0,0.49572649572649397,0.0007531280904299304,0.00018322641667478868,9.289641121185767e-05,0.0,0.0,0.0,0.0,3.0,0.1493924870687133,-1.4160003422499108,1.920191507659622e-05,0.16208055947150216
21389,186.0,0.38461538461538325,0.0033534482252299434,0.001392726016088001,0.001573745116820234,0.003,0.001,0.004,0.0,5.0,0.13965899352452193,-1.1538534314714215,0.00033652957206206814,0.10681902706895534
2033,17.0,0.8803418803418808,0.00018583976678683076,0.00015200197454602634,4.315188133712098e-05,0.0,0.0,0.0,0.0,3.0,0.29880899510392184,-1.5478610039636582,2.8894735248530318e-05,0.7023392780567901
19719,171.0,0.9401709401709404,0.004658627175318075,0.0004435890320036478,0.0002593108424795511,0.0,0.0,0.0,0.0,0.0,0.1532403708373539,0.017801948217967944,0.00012167074592752474,0.8415734639539847
145,1.0,0.6324786324786302,0.0018319389805802756,0.0004830386555447436,0.00043371636288374834,0.0,0.0,0.0,0.0,2.0,0.7155854820098657,0.34906518542842085,0.0001652451300310855,0.2920819428900053
3352,29.0,0.39316239316239177,0.0028563320785552253,0.00029472166620048195,1.3884517374675502e-05,0.0,0.0,0.0,0.0,0.0,0.08050422281010798,0.2295732986230975,1.4593035514745078e-05,0.10992039412766835
16522,144.0,0.17094017094017033,2.7373403121272922e-05,1.5192006743910504e-06,3.995544568251943e-07,0.0,0.0,0.0,0.0,3.0,0.22522548972483267,-1.0694776721906498,2.2047032072636449e-07,0.03912311191862355
3221,28.0,0.22222222222222143,0.001996866499805906,0.00019253897342357362,1.0288527263248752e-05,0.0,0.0,0.0,0.0,1.0,0.21892226105652315,1.8293579787332808,7.299142404047852e-06,0.053260608790771616
16424,143.0,0.34188034188034067,5.3029409538584526e-05,2.6895541826887844e-06,3.995544568251943e-07,0.0,0.0,0.0,0.0,3.0,0.2412926225542203,-1.0642151397220732,4.304420547514735e-07,0.09055743635758436
15676,136.0,0.9487179487179489,0.027383987588902994,0.04778403810837123,0.033322741810606994,0.004,0.011,0.016,0.001,2.0,0.9113399528507603,0.33395866436603844,0.06217968287045136,0.8636511006540252
6074,53.0,0.743589743589741,0.0035917019183435346,0.0009219227783655347,0.00024113111469400473,0.0,0.0,0.001,0.0,3.0,0.2408561034909917,-1.5518432431781173,0.0001668435398563516,0.45497423782869933
8218,72.0,0.42735042735042583,0.0002948455308275272,0.00029370416453603697,2.5971039693637628e-05,0.0,0.0,0.0,0.0,5.0,0.0845037756907469,-1.0234905537258703,1.3648162711632086e-05,0.12427716349894262
4326,38.0,0.5384615384615365,0.0008088392482486066,0.0001227693763360737,2.3373935724273864e-05,0.0,0.001,0.001,0.0,0.0,-0.052035846712221626,0.4157769350979974,1.612320452645306e-05,0.19294457363088385
2497,21.0,0.8205128205128212,0.002769552491098207,0.0010176235191328036,0.00042352772423470594,0.0,0.0,0.001,0.0,2.0,0.7732741918605675,0.3071106955789349,0.0014138289231780197,0.588697559459174
